Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Year
New York Jets,1116711,628184,488527,78523,78523,65878,Bye,69796,78523,78523,57833,59229,78523,56426,78523,39804,78523,70545,78523,69016,,2019
Oakland Raiders,961146,428311,532835,52359,52748,66738,62259,60463,Bye,78160,71893,53318,51954,51921,78523,73548,52760,52788,25380,76334,,2019
Philadelphia Eagles,1139525,558268,581257,69696,72443,69796,77509,69796,66837,91213,69435,69796,Bye,69796,69796,65545,69796,63246,69796,75029,,2019
Pittsburgh Steelers,986590,497896,488694,65878,65063,69439,57959,64037,25425,Bye,59244,61115,63627,67431,47423,62157,63880,64694,78523,70695,,2019
San Francisco 49ers,1080454,562443,518011,55976,50666,69439,Bye,70585,75695,61459,69083,60986,71404,69419,71500,71029,73038,70910,70103,69162,,2019
Seattle Seahawks,1101649,551927,549722,68710,65063,69005,60500,68988,67431,69012,71483,68948,71404,Bye,69796,69080,71501,72544,69022,69162,,2019
Tampa Bay Buccaneers,949068,415189,533879,55976,71101,55070,68117,73029,60087,Bye,62073,68948,40038,54333,71463,62633,50232,56515,49036,50417,,2019
Tennessee Titans,1047496,516074,531422,67431,62849,58613,72108,66910,75815,62431,62073,72540,68864,Bye,60926,60361,52760,65265,66756,71794,,2019
Washington Commanders,1101466,523906,577560,69696,75128,67327,74149,76483,59808,61459,66776,67685,Bye,56426,57754,71504,77296,63246,66083,90646,,2019
Arizona Cardinals,1018127,496111,522016,61613,66515,62163,61845,68337,66801,62359,61923,Bye,76712,62435,25343,77234,62014,72084,61759,68990,,2018
Atlanta Falcons,1119143,583184,535959,69696,72528,74457,71985,64781,72665,72756,Bye,62386,62144,74447,73017,72262,77329,72084,73722,52884,,2018
Baltimore Ravens,1053383,563451,489932,70591,50018,70156,62030,67431,64441,70639,73843,70997,Bye,70077,70035,72262,74336,70031,25571,70925,,2018
Buffalo Bills,1072899,519695,553204,70591,69187,66800,78312,68202,71638,56848,70109,68749,77982,Bye,57799,65155,59119,59110,65878,67420,,2018
Carolina Panthers,1102756,590182,512574,74532,72528,72161,Bye,74221,60482,69696,73843,73513,62881,61999,74002,52568,59392,74188,73722,73028,,2018
Chicago Bears,1045568,490750,554818,78282,57960,62163,61893,Bye,65791,62389,61397,68749,61393,61651,65684,76465,61695,62372,70806,66878,,2018
Cincinnati Bengals,911289,406028,505261,58699,50018,72161,71985,52708,60594,75676,45134,Bye,52492,70077,56122,44392,25358,44568,67431,63874,,2018
Cleveland Browns,1045441,526122,519319,67431,73086,67431,53387,67431,67431,53682,63780,67431,62144,Bye,56122,71741,59392,76596,67431,70925,,2018
Dallas Cowboys,1303393,732958,570435,74532,90512,69047,90155,72008,90767,66301,Bye,90466,69696,74447,92076,93004,93127,66654,92851,77750,,2018
Denver Broncos,1092324,611571,480753,76761,76696,70156,76656,77982,76109,62359,77103,76270,Bye,25462,76536,44392,69449,76596,53850,75947,,2018
Detroit Lions,1054328,502061,552267,61352,70164,61769,90155,63405,Bye,65265,65237,66825,61393,61999,65684,60974,62014,59110,61641,77341,,2018
Green Bay Packers,1163842,622677,541165,78282,78461,59827,78312,63405,77642,Bye,75822,65878,78076,69007,66872,77234,77329,62372,77982,77341,,2018
Houston Texans,1112480,574439,538041,65878,62372,71838,57716,72008,71638,66534,71726,76270,Bye,61593,71826,71741,71814,77982,69696,71848,,2018
Indianapolis Colts,1006361,473598,532763,58699,57013,69696,57716,65878,77982,56848,54372,Bye,57473,57401,57069,67030,71814,66654,61738,68978,,2018
Jacksonville Jaguars,1109899,552589,557310,77992,68527,64015,65353,75289,90767,66534,85870,Bye,57473,67683,57799,67030,60344,67577,65798,71848,,2018
Kansas City Chiefs,1107376,607780,499596,25351,63956,76023,76656,75289,65878,75676,77103,67431,76712,77002,Bye,54255,74336,75091,69067,77550,,2018
