Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Year
Denver Broncos,1129448,599264,530184,63636,75130,76401,69143,71246,75982,75835,83941,Bye,75334,68482,72736,67267,62223,44246,73691,74155,,2010
Detroit Lions,977218,450286,526932,62080,56688,63377,70729,55714,78341,Bye,46329,57799,56721,81261,60965,58119,57659,47692,66731,57013,,2010
Green Bay Packers,1122668,566362,556306,69144,70741,62179,70729,87760,70815,71107,78484,70913,Bye,64120,68204,70575,57659,68756,70649,70833,,2010
Houston Texans,1108625,568643,539982,70974,88240,71456,32218,71110,70926,Bye,66363,70886,62340,78843,70855,69144,71413,69143,73691,71023,,2010
Indianapolis Colts,1093781,535802,557979,70974,67275,76401,63111,66869,87883,Bye,66363,69144,67404,68756,66085,67471,69143,67147,52567,67188,,2010
Jacksonville Jaguars,1061603,504262,557341,63636,62691,63256,63111,58304,63625,69105,81395,Bye,62340,62254,78533,69143,62570,67147,63470,71023,,2010
Kansas City Chiefs,1069780,541380,528400,71297,65377,68188,Bye,66869,70926,69105,66625,61075,75334,66247,66370,67267,66780,55669,65606,67045,,2010
Miami Dolphins,1077049,541959,535090,69295,63846,70481,69090,Bye,70815,69867,63179,71305,65585,68752,48946,65942,78948,65511,66731,68756,,2010
Minnesota Vikings,1029797,470009,559788,70051,63846,63377,Bye,77909,64120,71107,68756,64120,62206,64120,83602,64012,45910,40504,69144,57013,,2010
New England Patriots,1088753,550048,538705,68756,78535,68756,69090,Bye,68756,68836,68756,66292,64359,68756,60965,68756,62347,68756,68281,68756,,2010
New Orleans Saints,1113131,560304,552827,70051,69732,70051,70016,62621,51759,70077,70011,73191,Bye,70015,93985,59963,70015,71432,70144,70068,,2010
New York Giants,1190095,631156,558939,77245,67275,78386,77716,71110,78341,91375,Bye,67287,80851,69144,78533,78861,45910,81223,70649,76189,,2010
New York Jets,1163375,628768,534607,78127,78535,70481,69262,77909,75982,Bye,78484,57799,67449,78843,78903,68756,78948,62568,62310,79019,,2010
Oakland Raiders,911382,371448,539934,69143,48396,62439,32218,48279,69732,75835,35721,61075,Bye,64987,48946,68183,62570,44246,52567,67045,,2010
Philadelphia Eagles,1125926,553152,572774,69144,56688,63256,69144,69732,69144,69143,Bye,69144,84912,69144,62147,69144,85673,81223,69144,69144,,2010
Pittsburgh Steelers,1049715,504669,545046,63609,69143,61036,64729,Bye,65168,69867,70011,65626,64359,64987,69642,71418,57501,62568,61748,68303,,2010
San Diego Chargers,1028715,524241,504474,71297,62691,67106,62189,48279,52472,68836,59260,70886,Bye,68482,66085,68183,66780,67820,54194,74155,,2010
San Francisco 49ers,1100435,572065,528370,67044,69732,68188,66874,69732,69732,72741,83941,Bye,69732,69732,62308,70575,69732,67820,52820,69732,,2010
Seattle Seahawks,1009483,535942,473541,67044,75130,67106,52326,Bye,62137,67132,35721,67287,61904,70015,66370,66577,69732,67101,46576,67325,,2010
St. Louis Rams,911195,423383,487812,52440,48396,52370,52326,55714,52472,42020,52281,Bye,69732,53005,72736,61874,70015,55669,52820,67325,,2010
Tampa Bay Buccaneers,937014,394513,542501,47211,72577,61036,Bye,63888,51759,42020,61857,67266,44264,69732,70989,53955,66124,47692,46576,70068,,2010
Tennessee Titans,1114265,553144,561121,69143,69143,78386,69143,90616,63625,69143,59260,Bye,65585,69143,70855,69143,69143,69143,65606,67188,,2010
Washington Redskins,1193756,665380,528376,90670,88240,52370,69144,87760,87883,62155,46329,Bye,84912,69143,83602,78861,66124,86904,63470,76189,,2010
